Company Name,Symbol,Sector,Industry,Exchange
,GAEL,Consumer Non-Durables,Food: Specialty/Candy,NSE
,JUBLPHARMA,Health Technology,Pharmaceuticals: Major,NSE
,GALAXYSURF,Consumer Non-Durables,Household/Personal Care,NSE
,M&M,,,
,RCF,Process Industries,Chemicals: Agricultural,NSE
,CHAMBLFERT,Process Industries,Chemicals: Specialty,NSE
,ORIENTCEM,Non-Energy Minerals,Construction Materials,NSE
,STARCEMENT,Producer Manufacturing,Metal Fabrication,NSE
,TATVA,Process Industries,Chemicals: Specialty,NSE
,TANLA,Technology Services,Information Technology Services,NSE
,SAIL,Non-Energy Minerals,Steel,NSE
,VIJAYA,Health Services,Medical/Nursing Services,NSE
,QUESS,Commercial Services,Personnel Services,NSE
,BIOCON,Health Technology,Pharmaceuticals: Major,NSE
,ETHOSLTD,Retail Trade,Catalog/Specialty Distribution,NSE
,SYMPHONY,Producer Manufacturing,Industrial Machinery,NSE
,NIACL,Finance,Multi-Line Insurance,NSE
,WESTLIFE,Consumer Services,Restaurants,NSE
,TCNSBRANDS,Consumer Non-Durables,Apparel/Footwear,NSE
,PARAS,Electronic Technology,Aerospace & Defense,NSE
,NAZARA,Technology Services,Packaged Software,NSE
,SPLPETRO,Process Industries,Industrial Specialties,NSE
,KIRLPNU,Producer Manufacturing,Industrial Machinery,BSE
,LODHA,Finance,Real Estate Development,NSE
,CUB,Finance,Regional Banks,NSE
,IDBI,Finance,Major Banks,NSE
,GHCL,Process Industries,Textiles,NSE
,INOXWIND,Producer Manufacturing,Electrical Products,NSE
,TTML,Communications,Specialty Telecommunications,NSE
,LAOPALA,Consumer Durables,Home Furnishings,NSE
,RKFORGE,Producer Manufacturing,Metal Fabrication,NSE
,SHAREINDIA,Finance,Investment Banks/Brokers,NSE
,NEULANDLAB,Health Technology,Pharmaceuticals: Major,NSE
,SONACOMS,Producer Manufacturing,Auto Parts: OEM,NSE
,GRAPHITE,Process Industries,Industrial Specialties,NSE
,ACCELYA,Technology Services,Packaged Software,NSE
,SKFINDIA,Producer Manufacturing,Metal Fabrication,NSE
,CRISIL,Technology Services,Internet Software/Services,NSE
,GILLETTE,Consumer Non-Durables,Household/Personal Care,NSE
,CIEINDIA,,,
,HNDFDS,Consumer Non-Durables,Food: Specialty/Candy,NSE
,MOLDTKPAC,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,ELGIEQUIP,Producer Manufacturing,Industrial Machinery,NSE
,INDIAGLYCO,Process Industries,Chemicals: Specialty,NSE
,BAJAJHIND,Process Industries,Agricultural Commodities/Milling,NSE
,IPCALAB,Health Technology,Pharmaceuticals: Major,NSE
,SANOFI,Health Technology,Pharmaceuticals: Major,NSE
,HINDCOPPER,Non-Energy Minerals,Other Metals/Minerals,NSE
,LUPIN,Health Technology,Pharmaceuticals: Other,NSE
,CROMPTON,Producer Manufacturing,Industrial Machinery,NSE
,VARROC,Distribution Services,Wholesale Distributors,NSE
,IGL,Utilities,Gas Distributors,NSE
,LICHSGFIN,Finance,Finance/Rental/Leasing,NSE
,LTFOODS,,,
,HEG,Electronic Technology,Electronic Components,NSE
,YESBANK,Finance,Major Banks,NSE
,RHIM,Producer Manufacturing,Miscellaneous Manufacturing,NSE
,TIMKEN,Producer Manufacturing,Industrial Machinery,NSE
,NAVINFLUOR,Process Industries,Chemicals: Specialty,NSE
,DELTACORP,Consumer Services,Movies/Entertainment,NSE
,SANSERA,Producer Manufacturing,Auto Parts: OEM,NSE
,KFINTECH,Technology Services,Packaged Software,NSE
,RBLBANK,Finance,Major Banks,NSE
,OPTIEMUS,Distribution Services,Electronics Distributors,NSE
,GNFC,Process Industries,Chemicals: Specialty,NSE
,PRESTIGE,Finance,Real Estate Development,NSE
,AARTIDRUGS,Health Technology,Pharmaceuticals: Major,NSE
,DBCORP,Consumer Services,Publishing: Newspapers,NSE
,SOLARINDS,Process Industries,Industrial Specialties,NSE
,RENUKA,Process Industries,Agricultural Commodities/Milling,NSE
,ACLGATI,,,
,DALMIASUG,Process Industries,Agricultural Commodities/Milling,NSE
,TMB,Finance,Regional Banks,NSE
,ASTERDM,Health Services,Hospital/Nursing Management,NSE
,GICRE,Finance,Specialty Insurance,NSE
,BARBEQUE,Consumer Services,Restaurants,NSE
,ZENSARTECH,Technology Services,Packaged Software,NSE
,SUNDRMFAST,Producer Manufacturing,Auto Parts: OEM,NSE
,TATAMTRDVR,,,
,RALLIS,Process Industries,Chemicals: Agricultural,NSE
,CONCORDBIO,,,
,NUVOCO,Non-Energy Minerals,Construction Materials,NSE
,VINATIORGA,Process Industries,Chemicals: Specialty,NSE
,MOTILALOFS,Finance,Investment Banks/Brokers,NSE
,CENTURYPLY,Producer Manufacturing,Building Products,NSE
,GRANULES,Health Technology,Pharmaceuticals: Other,NSE
,VSTTILLERS,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,ELECTCAST,Non-Energy Minerals,Steel,NSE
,JAMNAAUTO,Producer Manufacturing,Auto Parts: OEM,NSE
,IEX,Finance,Investment Banks/Brokers,NSE
,SEQUENT,Health Technology,Pharmaceuticals: Major,NSE
,AUBANK,Finance,Finance/Rental/Leasing,NSE
,DHANI,Finance,Finance/Rental/Leasing,NSE
,HFCL,Electronic Technology,Telecommunications Equipment,NSE
,CHOLAHLDNG,Finance,Finance/Rental/Leasing,NSE
,MRF,Consumer Durables,Automotive Aftermarket,NSE
,HOMEFIRST,Finance,Finance/Rental/Leasing,NSE
,SCHNEIDER,Distribution Services,Wholesale Distributors,NSE
,NETWORK18,Consumer Services,Broadcasting,NSE
,COROMANDEL,Process Industries,Chemicals: Specialty,NSE
,SSWL,Producer Manufacturing,Auto Parts: OEM,NSE
,VRLLOG,Transportation,Trucking,NSE
